movie-recommender  | INFO:     172.18.0.2:34280 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:52006 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:44144 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:54208 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:39578 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51922 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:34966 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:33126 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:55886 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:59700 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:56796 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:41264 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:52894 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:50488 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:41924 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51886 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:44050 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:58992 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:48582 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:53396 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:38558 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:58592 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51898 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:44914 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:54398 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51746 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:34836 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:49590 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:39420 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:57996 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:42898 - "GET /metrics HTTP/1.1" 200 OK
movie-recommender  | INFO:     172.18.0.2:51270 - "GET /metrics HTTP/1.1" 200 OK
